Common Name,Latin Name,DBH,Latitude,Longitude,Primary ID
Bur Oak,Quercus macrocarpa,37,38.040052042,-84.50610639,1697
Shingle Oak,Quercus imbricaria,17,38.035639399,-84.50248576,1543
American Holly,Ilex opaca,18,38.035328868,-84.50108712,1520
Maidenhair Tree,Ginkgo biloba,19,38.036830418,-84.50091208,1448
Red Maple,Acer rubrum,20,38.036753660,-84.50105876,1447
Common Hackberry,Celtis occidentalis,20,38.036427656,-84.50149779,1442
Common Hackberry,Celtis occidentalis,17,38.036175137,-84.50121259,1441
White Pine,Pinus strobus,21,38.035114065,-84.50117083,1440
Aristocrat Pear,Pyrus calleryana 'Aristocrat',18,38.035167967,-84.5013828,1439
Black Walnut,Juglans nigra,20,38.036216788,-84.50126358,1437
Norway Spruce,Picea abies,17,38.035075225,-84.50112369,1436
Pin Oak,Quercus palustris,37,38.033721484,-84.50104001,1268
Pin Oak,Quercus palustris,47,38.039666371,-84.50130159,1262
Pin Oak,Quercus palustris,26,38.033962005,-84.50133097,1253
Cherrybark Oak,Quercus pagoda,34,38.032037484,-84.50265306,1051
Amur Corktree,Phellodendron amurense,34,38.032577623,-84.50701578,892
Sawleaf Zelkova,Zelkova serrata,30,38.032514722,-84.5065455,890
Maidenhair Tree,Ginkgo biloba,33,38.037135778,-84.50630498,848
Red Oak,Quercus rubra,18,38.036987269,-84.50611733,805
Aristocrat Pear,Pyrus calleryana 'Aristocrat',27,38.032925506,-84.50713925,745
Saucer Magnolia,Magnolia x soulangeana,28,38.032831561,-84.50565639,711
Pin Oak,Quercus palustris,47,38.033016690,-84.50429589,667
Red Oak,Quercus rubra,26,38.033745912,-84.50420081,323
Red Oak,Quercus rubra,24,38.034004341,-84.50448675,320
Red Oak,Quercus rubra,29,38.034549109,-84.50377189,319
Red Oak,Quercus rubra,37,38.034465854,-84.50367841,318
English Oak,Quercus robur,28,38.034538041,-84.50343768,316
Shingle Oak,Quercus imbricaria,19,38.034772266,-84.50367124,313
Red Oak,Quercus rubra,30,38.034090003,-84.50458879,300
Silver Maple,Acer saccharinum,31,38.035441579,-84.50263254,296
American Elm,Ulmus americana,19,38.036009720,-84.50758456,264
Common Hackberry,Celtis occidentalis,37,38.031996436,-84.50160848,246
Red Oak,Quercus rubra,20,38.036799299,-84.50576117,228
Chinquapin Oak,Quercus muehlenbergii,32,38.035655103,-84.50752725,194
Black Walnut,Juglans nigra,24,38.035698443,-84.50767041,193
Willow Oak,Quercus phellos,20,38.036740469,-84.5056883,192
Eastern Redbud,Cercis canadensis,21,38.034909840,-84.50749867,173
Yellow Birch,Betula alleghaniensis,24,38.035368620,-84.50755255,164
Red Maple,Acer rubrum,18,38.034106650,-84.50548675,154
Crabapple,Malus floribunda,19,38.034754901,-84.50603931,143
White Pine,Pinus strobus,22,38.034405590,-84.50587768,142
Yellow Buckeye,Aesculus flava,39,38.034600252,-84.50668711,139
American Sweet Gum,Liquidambar styraciflua,26,38.035562729,-84.50743423,122
White Pine,Pinus strobus,18,38.039091536,-84.50615685,110
American Linden,Tilia americana,23,38.039355022,-84.50606534,105
Shumard Oak,Quercus shumardii,29,38.039489090,-84.50607223,103
Sawleaf Zelkova,Zelkova serrata,23,38.039281401,-84.50580755,102
Red Oak,Quercus rubra,23,38.038435010,-84.50143733,97
Pin Oak,Quercus palustris,46,38.038776127,-84.50567471,95
Willow Oak,Quercus phellos,23,38.038692580,-84.50583754,90
Red Maple,Acer rubrum,19,38.039640981,-84.50470452,87
Black Maple,Acer nigrum,29,38.039734750,-84.50468878,86
Pin Oak,Quercus palustris,44,38.039875020,-84.50468484,85
Red Oak,Quercus rubra,42,38.040333013,-84.50449986,84
London Plane Tree,Platanus x acerifolia,18,38.039556511,-84.50488459,83
Maidenhair Tree,Ginkgo biloba,33,38.040076505,-84.50453725,82
Western Catalpa,Catalpa speciosa,40,38.040081154,-84.50477045,78
Red Oak,Quercus rubra,26,38.040387259,-84.50490623,74
White Oak,Quercus alba,33,38.040413607,-84.504798,73
Red Oak,Quercus rubra,42,38.039536631,-84.50592578,67
Red Oak,Quercus rubra,44,38.039224505,-84.50557567,65
Red Oak,Quercus rubra,39,38.039124292,-84.50545653,64
Sawtooth Oak,Quercus acutissima,31,38.039023441,-84.50552461,63
Japanese Pagoda Tree,Styphnolobium japonicum,34,38.036645291,-84.50596817,42
Willow Oak,Quercus phellos,27,38.036339760,-84.5061339,34
Willow Oak,Quercus phellos,23,38.035823358,-84.50541543,31
Sugar Maple,Acer saccharum,17,38.035258346,-84.50486517,28
Pin Oak,Quercus palustris,42,38.034491640,-84.50529222,20
Pin Oak,Quercus palustris,32,38.034418151,-84.5052034,19
Field Elm,Ulmus minor,47,38.036219170,-84.5022502,14022
Red Maple,Acer rubrum,22,38.040156324,-84.50485408,11136
Willow Oak,Quercus phellos,24,38.036307137,-84.50608924,11135
Little-Leaf Linden,Tilia cordata,31,38.035463380,-84.50333617,11084
Red Oak,Quercus rubra,32,38.037129321,-84.50614284,11052
American Beech,Fagus grandifolia,28,38.037697899,-84.50259131,11035
American Sweet Gum,Liquidambar styraciflua,30,38.037803492,-84.50253716,11034
Norway Spruce,Picea abies,22,38.040335459,-84.50717314,11001
American Sweet Gum,Liquidambar styraciflua,23,38.036183979,-84.50377762,10941
Bur Oak,Quercus macrocarpa,45,38.038467862,-84.50318552,10898
Red Oak,Quercus rubra,35,38.037713447,-84.50551388,10888
Red Oak,Quercus rubra,26,38.038454855,-84.50179067,10883
Little-Leaf Linden,Tilia cordata,32,38.038101269,-84.50255727,10880
American Sycamore,Platanus occidentalis,55,38.038382400,-84.50301579,10879
White Pine,Pinus strobus,17,38.038934717,-84.50543465,10807
Common Hackberry,Celtis occidentalis,21,38.036085402,-84.50735563,10613
Basket Oak,Quercus montana,36,38.032876200,-84.50637533,10609
Aristocrat Pear,Pyrus calleryana 'Aristocrat',18,38.039093421,-84.50331265,10602
